Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon EC2,0,1493.28,17919.36,USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (m5.2xlarge)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,526.5,6318.00,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,2758.18,33098.16,USD,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),S3 Standard,0,51.14,613.68,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (Ohio),S3 Standard - Infrequent Access,0,649.78,7797.36,USD,S3 Infrequent Access storage (49 TB per month)
My Estimate,US East (Ohio),Data Transfer,0,921.51,11058.12,USD," Inbound (from: Internet) 10 TB per month 
 Outbound (to: Internet) 10 TB per month 
"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,5008.2880000000005,60099.46,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Additional backup storage (30 TB)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,614.31,7371.72,USD," Inbound (from: Internet) 5 TB per month 
 Outbound (to: Internet) 5 TB per month 
 Outbound (to: All other regions) 5 TB per month 
 Intra-Region 5 TB per month 
"
My Estimate,US East (Ohio),Amazon RDS for MySQL,0,5008.2880000000005,60099.46,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Additional backup storage (30 TB)"
My Estimate,US East (Ohio),Amazon EC2,0,1493.28,17919.36,USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (m5.2xlarge)"
My Estimate,US East (N. Virginia),Amazon ElastiCache,0,1328.6,15943.20,USD,(2 instances)  Memcached  Memory optimized  cache r4.2xlarge  OnDemand



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

https://calculator.aws/#/estimate?id=b60e795d74cef3c5bd6e36f312009e1a0ca0fcb8

An additional budget was used to improve backups, redundancy and caching:
1) Database backup storage increased
2) Database read replica added in another region (Ohio) to survive region outage
3) Size of EC2 and RDS instances increased
4) Added some running ready-to-go instances in the second region (Ohio)
5) Amazon ElastiCache instances added
